time,name,type,host,expected,result
1721469545,lsong.org,http4,https://lsong.org,200,success
1721469547,lsong.one,http4,https://lsong.one:8443,200,success
1721469547,lsong.me,http6,https://lsong.me:8443,200,failed
1721469547,dtting.me,port,r.dtting.me#22,0,failed
1721469547,Google Website (IPv4),http4,https://google.com,200,success
1721469547,Google Website (IPv6),http6,https://google.com,200,failed
1721469551,Baidu.com,http,https://baidu.com,200,success
1721469561,Cloudflre DNS,ping,1.1.1.1,0,failed
1721469561,Google DNS,port,8.8.8.8#53,0,success
